TIME,LABEL
4.733937500,15.4
5.476979167,16.1
6.220020833,16.2
7.055937500,16.3
7.798979167,16.4
8.542000000,17.1
9.285041667,17.2
10.120958333,17.3
10.864000000,17.4
11.607041667,18.1
12.350083333,18.2
13.000250000,18.3
13.743270833,18.4
14.393437500,19.1
15.043604167,19.2
15.786645833,19.3
16.529666667,19.4
17.272708333,20.1
17.922875000,20.2
18.573020833,20.3
19.130312500,20.4
19.780458333,21.1
20.523500000,21.2
21.173666667,21.3
21.638062500,21.4
22.381104167,22.1
22.938375000,22.2
23.681416667,22.3
24.424458333,22.4
25.167500000,23.1
25.724770833,23.2
26.374937500,23.3
27.025083333,23.4
27.582375000,24.1
28.232541667,24.2
28.882687500,24.3
29.625729167,24.4
30.275895833,25.1
31.018916667,25.2
31.669083333,25.3
32.412125000,25.4
33.062291667,26.1
33.712437500,26.2
34.362604167,26.3
35.105645833,26.4
35.755791667,27.1
36.405958333,27.2
37.056104167,27.3
37.799145833,27.4
38.449312500,28.1
39.099479167,28.2
39.749625000,28.3
40.492666667,28.4
41.142833333,29.1
41.885875000,29.2
42.536020833,29.3
43.279062500,29.4
43.929229167,30.1
44.672250000,30.2
45.322416667,30.3
46.065458333,30.4
46.715625000,31.1
