TIME,LABEL
4.826812500,31.2
5.476979167,31.3
6.220020833,31.4
7.055937500,32.1
7.798979167,32.2
8.542000000,32.3
9.377937500,32.4
10.120958333,33.1
10.864000000,33.2
11.607041667,33.3
12.350083333,33.4
13.000250000,34.1
13.743270833,34.2
14.393437500,34.3
15.136479167,34.4
15.786625000,35.1
16.436791667,35.2
17.179833333,35.3
17.922875000,35.4
18.573020833,36.1
19.316062500,36.2
20.059104167,36.3
20.709270833,36.4
21.452312500,37.1
22.102458333,37.2
22.938375000,37.3
23.681416667,37.4
24.424458333,38.1
25.167500000,38.2
25.910541667,38.3
26.653583333,38.4
27.303729167,39.1
28.139645833,39.2
28.789812500,39.3
29.532854167,39.4
30.275895833,40.1
30.926041667,40.2
31.576208333,40.3
32.319250000,40.4
32.969395833,41.1
33.712437500,41.2
34.362604167,41.3
35.105645833,41.4
35.755791667,42.1
36.405958333,42.2
37.149000000,42.3
37.799145833,42.4
38.449312500,43.1
39.192354167,43.2
39.842500000,43.3
40.585541667,43.4
41.235708333,44.1
41.978750000,44.2
42.628895833,44.3
43.279062500,44.4
44.022104167,45.1
44.672250000,45.2
45.415291667,45.3
46.065458333,45.4
46.808500000,46.1
